policy_id,ticker,entry_date,avg_entry_price,tranches,exit_date,exit_price,exit_reason,pnl_pct,pnl_units,entry_stop,fees_units
v1_trail10,AXTI,2026-06-23,77.91,1,2026-06-24,76.0,stop,-2.45,-1260,76.0,
v1_trail10,GOOG,2026-06-23,346.08,1,2026-06-24,343.63,stop,-0.71,-364,343.63,
v1_trail10,GOOG,2026-06-24,345.04,1,2026-06-25,336.9200134277344,stop,-2.35,-2377,343.63,
v1_trail10,SITM,2026-06-17,677.21,1,2026-06-26,653.8900146484375,stop,-3.44,-1752,633.32,
v1_trail10,NOK,2026-06-26,13.01,1,2026-07-01,12.84000015258789,stop,-1.31,-652,13.49,
v1_trail10,NVDA,2026-06-29,194.97,1,2026-07-01,196.1999969482422,stop,0.63,631,190.43,
v1_trail10,NVDA,2026-07-02,194.83,1,2026-07-06,194.38999938964844,stop,-0.23,-114,194.51,
v1_trail10,MSFT,2026-06-25,362.6701,2,2026-07-09,374.45001220703125,stop,3.25,3272,355.51,
v1_trail10,TSM,2026-04-20,365.3843,1,2026-07-13,423.37,stop,15.87,15870,353.74,
v1_trail10,NVDA,2026-07-14,211.8,1,2026-07-15,209.21,stop,-1.22,-1240,199.34,
v1_trail10,GOOG,2026-06-29,351.28,1,2026-07-16,369.14,stop,5.08,5086,319.12,
v1_trail10,WRD,2026-06-18,6.1848,2,2026-07-16,6.03,stop,-2.5,-2571,6.03,
v1_trail10,MU,2026-07-28,820.53,1,2026-07-29,804.0,stop,-2.01,-1034,891.66,
v1_trail10,LITE,2026-07-31,713.94,1,2026-08-03,680.43,stop,-4.69,-2408,680.43,
v1_trail10,NOK,2026-08-03,9.36,1,2026-08-05,9.79,stop,4.59,2349,7.79,
v1_trail10,NVTS,2026-08-04,12.69,1,2026-08-05,12.270000457763672,stop,-3.31,-1692,10.74,
v1_trail10,NOK,2026-08-07,9.36,1,2026-08-10,9.26,stop,-1.07,-549,9.25,
v1_trail10,MU,2026-08-07,877.57,1,2026-08-11,854.22,stop,-2.66,-1367,854.22,
v1_trail10,AIXA_DE,2026-08-03,37.48,1,2026-08-13,42.4,stop,12.99,6642,32.41,
v1_trail10,BE,2026-08-11,211.21,1,2026-08-14,230.6,stop,9.18,4722,182.06,
v1_trail10,U11_SI,2026-05-08,36.56,1,2026-08-14,40.80252553347583,stop,10.63,5364,36.1,
v1_trail10,MU,2026-08-13,949.83,1,2026-08-18,957.0999755859375,stop,0.77,400,891.66,
v1_trail10,ASML,2026-08-13,1847.9,1,2026-08-19,1779.85,stop,-3.68,-1924,1768.73,
v1_trail10,000660_KS,2026-08-07,1430958.264,2,2026-08-20,1613000.0,stop,14.77,15202,1246000.0,
v1_trail10,NVDA,2026-08-05,219.22,1,2026-08-24,207.58,stop,-5.31,-2719,205.65,
v1_trail10,AIXA_DE,2026-08-24,36.75,1,2026-08-26,36.79,stop,0.05,26,36.79,
v1_wide10,WRD,2026-05-04,7.84,1,2026-05-13,7.190000057220459,stop,-8.29,-4201,7.3,
v1_wide10,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,73,7.42,
v1_wide10,MSFT,2026-06-04,428.05,1,2026-06-09,398.58,stop,-6.89,-3669,398.58,
v1_wide10,WRD,2026-06-18,6.1828,2,2026-06-23,5.849999904632568,stop,-5.38,-5976,6.03,
v1_wide10,AXTI,2026-06-23,77.91,1,2026-06-25,65.02,stop,-16.54,-9331,65.02,
v1_wide10,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,410,355.51,
v1_wide10,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-660,13.18,
v1_wide10,SITM,2026-06-17,677.21,1,2026-07-02,609.15,stop,-10.05,-5431,609.15,
v1_wide10,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,782,854.22,
v1_wide_ext_100,U11_SI,2026-04-23,36.19,1,2026-04-24,35.15,stop,-3.03,-1525,35.15,
v1_wide_ext_100,WRD,2026-05-04,7.84,1,2026-05-05,7.630000114440918,caution_exit,-2.68,-1353,7.3,
v1_wide_ext_100,ASML,2026-04-23,1414.7101,1,2026-05-07,1516.5999755859375,caution_exit,7.2,7244,1314.33,
v1_wide_ext_100,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,72,7.42,
v1_wide_ext_100,MSFT,2026-06-04,428.05,1,2026-06-09,398.58,stop,-6.88,-3599,398.58,
v1_wide_ext_100,TSM,2026-04-20,365.3843,1,2026-06-16,425.8299865722656,caution_exit,16.54,16543,330.99,
v1_wide_ext_100,WRD,2026-06-18,6.1837,2,2026-06-23,5.849999904632568,stop,-5.4,-5777,6.03,
v1_wide_ext_100,AXTI,2026-06-23,77.91,1,2026-06-25,65.02,stop,-16.55,-8941,65.02,
v1_wide_ext_100,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,400,355.51,
v1_wide_ext_100,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-641,13.18,
v1_wide_ext_100,BE,2026-06-11,248.88,1,2026-07-01,309.510009765625,caution_exit,24.36,24923,147.23,
v1_wide_ext_100,SITM,2026-06-17,677.21,1,2026-07-01,708.5,caution_exit,4.62,2437,609.15,
v1_wide_ext_100,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,815,854.22,
v1_wide_ext_100,NVDA,2026-06-11,204.87,1,2026-08-06,218.99000549316406,caution_exit,6.89,7051,188.79,
v1_wide_ext_100,ASML,2026-08-13,1847.9,1,2026-08-18,1802.97998046875,caution_exit,-2.43,-1437,1714.78,
v1_wide_ext_100,LITE,2026-07-31,713.94,1,2026-08-21,866.7100219726562,caution_exit,21.4,11697,646.6,
v1_wide_ext_100_b12,U11_SI,2026-04-23,36.19,1,2026-04-24,35.15,stop,-3.03,-1832,35.15,
v1_wide_ext_100_b12,WRD,2026-05-04,7.84,1,2026-05-05,7.630000114440918,caution_exit,-2.68,-1626,7.3,
v1_wide_ext_100_b12,ASML,2026-04-23,1414.7101,1,2026-05-07,1516.5999755859375,caution_exit,7.2,8703,1314.33,
v1_wide_ext_100_b12,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,87,7.42,
v1_wide_ext_100_b12,MSFT,2026-06-04,428.05,1,2026-06-09,398.58,stop,-6.88,-4356,398.58,
v1_wide_ext_100_b12,TSM,2026-04-20,365.3843,1,2026-06-16,425.8299865722656,caution_exit,16.54,19852,330.99,
v1_wide_ext_100_b12,WRD,2026-06-18,6.1833,2,2026-06-23,5.849999904632568,stop,-5.39,-7016,6.03,
v1_wide_ext_100_b12,AXTI,2026-06-23,77.91,1,2026-06-25,65.02,stop,-16.54,-10891,65.02,
v1_wide_ext_100_b12,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,485,355.51,
v1_wide_ext_100_b12,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-775,13.18,
v1_wide_ext_100_b12,BE,2026-06-11,248.88,1,2026-07-01,309.510009765625,caution_exit,24.36,30042,147.23,
v1_wide_ext_100_b12,SITM,2026-06-17,677.21,1,2026-07-01,708.5,caution_exit,4.62,2954,609.15,
v1_wide_ext_100_b12,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,992,854.22,
v1_wide_ext_100_b12,NVDA,2026-06-11,204.87,1,2026-08-06,218.99000549316406,caution_exit,6.89,8500,188.79,
v1_wide_ext_100_b12,LITE,2026-07-31,713.94,1,2026-08-21,866.7100219726562,caution_exit,21.4,14278,646.6,
v1_wide_ext_100_b30,U11_SI,2026-04-23,36.19,1,2026-04-24,35.15,stop,-3.03,-4627,35.15,
v1_wide_ext_100_b30,ASML,2026-04-23,1414.7101,1,2026-05-07,1516.5999755859375,caution_exit,7.2,21982,1314.33,
v1_wide_ext_100_b30,WRD,2026-05-15,7.14,1,2026-05-18,7.150000095367432,stop,0.14,227,7.42,
v1_wide_ext_100_b30,MSFT,2026-06-04,428.05,1,2026-06-09,398.58,stop,-6.88,-11532,398.58,
v1_wide_ext_100_b30,TSM,2026-04-20,365.3843,1,2026-06-16,425.8299865722656,caution_exit,16.54,49629,330.99,
v1_wide_ext_100_b30,GOOG,2026-06-22,348.78,1,2026-06-23,340.1050109863281,stop,-2.48,-250,343.63,
v1_wide_ext_100_b30,WRD,2026-06-18,6.35,1,2026-06-23,5.849999904632568,stop,-7.87,-13441,6.03,
v1_wide_ext_100_b30,AXTI,2026-06-23,77.91,1,2026-06-25,65.02,stop,-16.54,-27643,65.02,
v1_wide_ext_100_b30,MSFT,2026-06-25,352.83,1,2026-06-26,355.51,stop,0.76,1059,355.51,
v1_wide_ext_100_b30,NOK,2026-06-26,13.01,1,2026-06-29,12.850000381469727,stop,-1.23,-1728,13.18,
v1_wide_ext_100_b30,BE,2026-06-11,248.88,1,2026-07-01,309.510009765625,caution_exit,24.36,37995,147.23,
v1_wide_ext_100_b30,SITM,2026-06-17,677.21,1,2026-07-01,708.5,caution_exit,4.62,7802,609.15,
v1_wide_ext_100_b30,MU,2026-07-28,820.53,1,2026-07-29,833.0,stop,1.52,383,854.22,
v1_wide_ext_100_b30,NVDA,2026-07-02,203.1927,2,2026-07-29,190.73,stop,-6.13,-21184,190.73,
v1_wide_ext_100_b30,LITE,2026-07-31,713.94,1,2026-08-21,866.7100219726562,caution_exit,21.4,37784,646.6,
v1_wide_extthesis_100,U11_SI,2026-04-23,36.19,1,2026-04-24,35.15,stop,-3.03,-1525,35.15,
